,loss,accuracy,auc,val_loss,val_accuracy,val_auc
0,0.6701,0.6286,0.5364,0.6791,0.6292,0.5632
1,0.6547,0.6578,0.5554,0.6636,0.6542,0.6126
2,0.6547,0.6292,0.5827,0.8255,0.6479,0.6776
3,0.6316,0.649,0.6073,2.1447,0.6208,0.5776
4,0.6379,0.6432,0.6016,1.823,0.6438,0.6252
5,0.6458,0.6245,0.6085,1.4863,0.6604,0.6766
6,0.6296,0.6547,0.6116,1.2306,0.6687,0.6455
7,0.6328,0.6547,0.6145,1.5243,0.6458,0.6785
8,0.6331,0.6573,0.6075,2.0042,0.6271,0.6413
9,0.6246,0.6531,0.6318,2.3897,0.5958,0.5471
10,0.6233,0.6516,0.6392,2.7014,0.6208,0.5055
11,0.6244,0.6536,0.6239,2.501,0.65,0.5
12,0.6385,0.6479,0.61,2.4162,0.6083,0.533
13,0.6253,0.6635,0.6401,1.4732,0.6104,0.6718
14,0.6223,0.649,0.6488,2.0172,0.625,0.6262
15,0.633,0.6578,0.605,1.505,0.6687,0.6477
16,0.6268,0.6542,0.6394,1.783,0.6104,0.6767
17,0.6327,0.6427,0.6234,1.8211,0.6271,0.6108
18,0.6177,0.6484,0.6642,1.3305,0.6562,0.7205
19,0.6376,0.6464,0.6151,1.0227,0.6146,0.7246
